comments_num,info,movie_id,name,poster_url,quote,ranking,rating
681033,导演: 娜丁·拉巴基 Nadine Labaki 主演: 扎因·拉费阿 Zain al-Rafeea / ...2018 / 黎巴嫩 法国 美国 / 剧情,30170448,何以为家,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,凝视卑弱生命，用电影改变命运。,34,9.1
1044308,导演: 李安 Ang Lee 主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险,1929463,少年派的奇幻漂流,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,瑰丽壮观、无人能及的冒险之旅。,35,9.1
977714,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson 主演: 爱德...2009 / 美国 / 剧情 喜剧 动画 冒险,2129039,飞屋环游记,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,最后那些最无聊的事情，才是最值得怀念的。 ,36,9.0
332898,导演: Sidney Lumet 主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...1957 / 美国 / 剧情,1293182,十二怒汉,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,1957年的理想主义。 ,37,9.4
450206,导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...2000 / 中国大陆 / 剧情 喜剧,1291858,鬼子来了,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,对敌人的仁慈，就是对自己残忍。,38,9.2
457022,导演: 李濬益 Jun-ik Lee 主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...2013 / 韩国 / 剧情,21937452,素媛,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,39,9.2
620217,导演: 宫崎骏 Hayao Miyazaki 主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...1986 / 日本 / 动画 奇幻 冒险,1291583,天空之城,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,对天空的追逐，永不停止。 ,40,9.1
715425,导演: 宫崎骏 Hayao Miyazaki 主演: 倍赏千惠子 Chieko Baishô / 木村拓...2004 / 日本 / 动画 奇幻 冒险,1308807,哈尔的移动城堡,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,带着心爱的人在天空飞翔。,41,9.1
882954,导演: 刘镇伟 Jeffrey Lau 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,1299398,大话西游之月光宝盒,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,旷古烁今。,42,9.0
482386,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 安东内拉·阿蒂利 Anton...1988 / 意大利 法国 / 剧情 爱情,1291828,天堂电影院,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,43,9.2
715844,导演: 威廉·惠勒 William Wyler 主演: 奥黛丽·赫本 Audrey Hepburn / 格...1953 / 美国 / 喜剧 剧情 爱情,1293839,罗马假日,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,爱情哪怕只有一天。,44,9.0
687761,导演: Chris Columbus 主演: Daniel Radcliffe / Emma Watson / Rupert Grint2001 / 美国 英国 / 奇幻 冒险,1295038,哈利·波特与魔法石,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,童话世界的开端。,45,9.0
623390,导演: 马丁·布莱斯 Martin Brest 主演: 阿尔·帕西诺 Al Pacino / 克里斯...1992 / 美国 / 剧情,1298624,闻香识女人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,史上最美的探戈。,46,9.1
447398,导演: 杨宇硕 Woo-seok Yang 主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...2013 / 韩国 / 剧情,21937445,辩护人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,电影的现实意义大过电影本身。,47,9.2
1528999,导演: 文牧野 Muye Wen 主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...2018 / 中国大陆 / 剧情 喜剧,26752088,我不是药神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,对我们国家而言，这样的电影多一部是一部。,48,9.0
641370,导演: 大卫·芬奇 David Fincher 主演: 爱德华·诺顿 Edward Norton / 布拉...1999 / 美国 德国 / 剧情 动作 悬疑 惊悚,1292000,搏击俱乐部,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,49,9.0
508405,导演: 彼得·威尔 Peter Weir 主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...1989 / 美国 / 剧情,1291548,死亡诗社,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,50,9.1
377375,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 阿尔·帕西诺 A...1974 / 美国 / 剧情 犯罪,1299131,教父2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,优雅的孤独。,51,9.2
588230,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff 主演: 乔纳森·泰勒·托马...1994 / 美国 / 动画 冒险 歌舞,1301753,狮子王,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,动物版《哈姆雷特》。,52,9.0
504064,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩...2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,1291572,指环王2：双塔奇兵,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,承前启后的史诗篇章。,53,9.1
282962,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng Tang 主演: 邱岳峰 Yuefeng Qiu /...1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻,1418019,大闹天宫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,经典之作，历久弥新。,54,9.3
417875,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck &n...2006 / 德国 / 剧情 悬疑,1900841,窃听风暴,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,别样人生。,55,9.1
